ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58565767	58565954	58565856	58565954	58557976	58558057	0	0,3,0	0,0,1	0,0,0	1,2,4	-2	-1	1	1.0	NA,1.0,0.0	0.0,0.0,0.0	0.5
7	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38373818	38374377	38373818	38374236	38377654	38378216	7	115,101,106	0,1,0	50,58,55	1,3,0	-2	-1	0.52234557012	1.0	1.0,0.981,1.0	0.962,0.906,1.0	0.038
11	"ENSMUSG00000031985"	"Gnpat"	chr8	+	124873332	124873509	124873332	124873479	124874218	124874348	11	97,116,70	2,6,3	85,122,112	3,6,6	-2	-1	0.551632387342	1.0	0.96,0.906,0.921	0.934,0.91,0.903	0.013
15	"ENSMUSG00000019539"	"Rcn3"	chr7	-	45092095	45092221	45092104	45092221	45091440	45091688	15	2,10,6	0,1,2	3,12,3	0,3,2	-2	-1	0.0385355816536	0.477788179874	1.0,0.833,0.6	1.0,0.667,0.429	0.112
16	"ENSMUSG00000020486"	"Sept4"	chr11	+	87588717	87589085	87588717	87588852	87589174	87589276	16	34,42,33	4,5,2	23,22,30	0,2,4	-2	-1	0.439777635191	1.0	0.81,0.808,0.892	1.0,0.846,0.789	-0.042
18	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40574210	40574369	40574216	40574369	40573770	40573861	18	2,4,5	0,0,0	1,4,5	0,1,0	-2	-1	1	1.0	1.0,1.0,1.0	1.0,0.667,1.0	0.111
21	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35671225	35671357	35671229	35671357	35670865	35670962	21	13,22,9	0,0,0	33,18,14	0,0,1	-2	-1	1	1.0	1.0,1.0,1.0	1.0,1.0,0.875	0.042
24	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23107758	23107880	23107758	23107820	23108587	23108633	24	1,3,3	20,14,19	2,1,1	13,59,45	-2	-1	0.041514387099	0.496428343209	0.024,0.097,0.073	0.071,0.008,0.011	0.035
25	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	23110579	23111263	23110579	23110723	23111502	23111592	25	658,590,668	0,2,2	666,405,369	1,0,0	-2	-1	1	1.0	1.0,0.993,0.994	0.997,1.0,1.0	-0.003
26	"ENSMUSG00000041890"	"Git2"	chr5	-	114743730	114743880	114743775	114743880	114739032	114739281	26	1,7,3	0,0,2	3,0,3	0,0,0	-2	-1	1	1.0	1.0,1.0,0.429	1.0,NA,1.0	-0.19
27	"ENSMUSG00000022510"	"Trp63"	chr16	+	25866074	25866211	25866074	25866199	25868166	25868249	27	6,6,5	4,2,2	7,3,1	1,1,0	-2	-1	0.00196016955468	0.0634406317832	0.429,0.6,0.556	0.778,0.6,1.0	-0.264
30	"ENSMUSG00000054770"	"Kctd18"	chr1	-	57965328	57965540	57965350	57965540	57963067	57963261	30	0,3,1	0,0,3	0,0,0	1,0,1	-2	-1	1	1.0	NA,1.0,0.143	0.0,NA,0.0	0.572
31	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44158143	44158335	44158143	44158259	44158804	44158891	31	0,1,0	9,7,4	0,0,0	8,3,1	-2	-1	1	1.0	0.0,0.067,0.0	0.0,0.0,0.0	0.022
32	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44160976	44161109	44160976	44161037	44161809	44161953	32	2,1,3	6,8,1	1,2,2	7,6,1	-2	-1	0.475482070802	1.0	0.143,0.059,0.6	0.067,0.143,0.5	0.031
33	"ENSMUSG00000002885"	"Adgre5"	chr8	-	83734295	83734352	83734301	83734352	83734008	83734125	33	5,24,11	1,1,0	8,26,29	0,1,4	-2	-1	0.0609587167093	0.642550028721	0.714,0.923,1.0	1.0,0.929,0.784	-0.025
36	"ENSMUSG00000052395"	"Rft1"	chr14	+	30676849	30676907	30676849	30676900	30677686	30677817	36	0,2,5	5,3,2	1,3,3	1,10,3	-2	-1	0.870833884698	1.0	0.0,0.25,0.556	0.333,0.13,0.333	0.003
37	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107770551	107770959	107770884	107770959	107769560	107769626	37	0,0,2	8,8,10	0,0,0	6,30,34	-2	-1	1	1.0	0.0,0.0,0.091	0.0,0.0,0.0	0.03
38	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26372730	26372825	26372758	26372825	26370832	26370880	38	0,2,2	1,1,0	3,3,2	2,5,3	-2	-1	0.833987885597	1.0	0.0,0.5,1.0	0.429,0.231,0.25	0.197
